LocationAbbr,LocationDesc,AGEYR1824-11,AGEYR2534-11,AGEYR3544-11,AGEYR4554-11,AGEYR5564-11,AGEYR65PLUS-11,AGEYR1824-12,AGEYR2534-12,AGEYR3544-12,AGEYR4554-12,AGEYR5564-12,AGEYR65PLUS-12,AGEYR1824-13,AGEYR2534-13,AGEYR3544-13,AGEYR4554-13,AGEYR5564-13,AGEYR65PLUS-13,AGEYR1824-14,AGEYR2534-14,AGEYR3544-14,AGEYR4554-14,AGEYR5564-14,AGEYR65PLUS-14,AGEYR1824-15,AGEYR2534-15,AGEYR3544-15,AGEYR4554-15,AGEYR5564-15,AGEYR65PLUS-15
US,National,15.2,25.9,29.9,32.6,32.6,25.3,15,25.6,31.3,32.4,33.3,25.8,15.4,26.4,31.7,33.3,33.5,26.5,15.9,27,32.1,33.7,34.2,27.5,16.7,26.7,32.1,34,33.4,27.6
AL,Alabama,16.3,35.2,35.5,38,36.4,27.1,23.9,31.3,34.1,39.7,40.3,26.9,19,30.4,36.7,40,37.1,28.4,20.4,31.7,40.9,39.9,37.4,28.9,25.1,35.2,41.1,40.6,40.3,30.2
AK,Alaska,19.8,23.5,29.5,29.2,33.4,29.3,9,20.1,30.3,32.6,32.3,26.8,12.6,28.1,33.5,29.8,33.1,30.4,14,28,33.6,35.2,34.5,29.6,19.2,29.8,33.1,30.8,30.6,34.7
AZ,Arizona,18.7,23.6,25.4,29.6,29.9,22.6,16.2,29.2,30.4,27.6,30.3,22.6,13.4,29.6,27.6,34.6,30.4,23.2,16.6,29.1,33.3,34.9,33.5,24.7,17.5,29.5,33.4,32.1,33.4,24.2
AR,Arkansas,23,29.3,32.9,36.4,36.9,26.1,27.1,33.7,43.4,40.4,37.2,25.9,29.6,34.2,42.1,37.9,38.5,26.4,23.9,39.6,38,43.9,39.3,29.2,20.7,33.7,39.9,42.2,38.8,29.8
CA,California,14.5,23.7,25.9,27.6,27.6,21.2,12.2,23.2,28.7,31.3,30.6,21.1,12.2,23,26.7,28.3,30.3,22,13.3,23.7,28.1,26.9,29.8,24.1,13.6,25.1,27.5,27.7,26.1,22.8
CO,Colorado,10.2,19.3,22.7,24.2,24.2,20.2,11.8,16.6,23.4,25.5,23.6,19.6,11.3,20.8,24.5,24.6,24.9,18.6,10.9,18.7,24.1,24.7,26.1,20.5,11.2,17.3,22.5,24.1,24.1,20
CT,Connecticut,16.1,23.2,25.4,27,28.6,23.7,9.6,28.7,28,28.8,27.9,26.5,15.5,21.5,28.6,26.2,28.4,26.3,11.4,25,26.8,30.8,31.7,27.2,11.2,26.4,26,29,29.5,25.5
DE,Delaware,14.2,25.3,33.2,31.4,36.1,28.9,9.9,25.2,29.4,32.1,35.1,26,16,30.8,31.4,39.1,34.6,30.3,17.4,25.9,34.5,36.4,35.9,30.5,18.2,29.6,30.3,36.3,33.4,27.9
DC,District of Columbia,8.5,20.8,22,34.8,30.6,26.3,16,15.7,23.3,31,32.9,19.1,7.6,18.9,27.4,29.9,30.1,23.8,10.3,18,20.6,32.8,26.5,23.7,15.4,12.3,22.5,33.7,28,29.7
